name,ropensci_category
geojson,geospatial
geojsonio,geospatial
geojsonlint,geospatial
geonames,geospatial
geoops,geospatial
geoparser,geospatial
getCRUCLdata,data-access
getlandsat,data-access
ghql,http-tools
gistr,scalereprod
git2r,scalereprod
googleLanguageR,data-tools
graphql,http-tools
GSODR,data-access
gtfsr,data-access
gutenbergr,data-access
hathi,data-access
hddtools,data-access
helminthR,data-access
historydata,data-access
hoardr,scalereprod
hunspell,data-tools
hydroscoper,data-access
IEEER,literature
iheatmapr,data-visualization
ijtiff,image-processing
internetarchive,data-access
isdparser,data-access
jaod,data-access
jqr,data-tools
jsonld,data-tools
jsonvalidate,data-tools
jstor,literature
landscapetools,geospatial
lawn,geospatial
lingtypology,literature
lq,NA
magick,image-processing
mapr,geospatial
microdemic,literature
MODIStsp,data-access
monkeylearn,data-access
mregions,geospatial
musemeta,data-access
mutant,NA
nasapower,data-access
natserv,data-access
neotoma,data-access
NLMR,geospatial
nneo,data-access
nodbi,databases
nomisr,data-access
oai,literature
onekp,data-access
opencage,geospatial
opencontext,data-access
originr,data-access
osmdata,geospatial
osmplotr,geospatial
ots,data-access
outcomerate,scalereprod
paleobioDB,data-access
pangaear,data-access
patentsview,literature
pdftools,literature
phylocomr,data-analysis
phylodiv,NA
phylogram,data-analysis
phylotaR,data-access
piggyback,data-publication
plater,data-tools
pleiades,data-access
plotdap,data-visualization
plotly,data-visualization
PostcodesioR,geospatial
prism,data-access
proj,geospatial
pubchunks,literature
qualtRics,data-access
rAltmetric,altmetrics
randgeo,geospatial
rAvis,data-access
rbace,data-access
rbhl,data-access
rbison,data-access
rbraries,data-access
rcoreoa,data-access
rcrossref,literature
rdatacite,literature
rdataretriever,data-access
rdefra,data-access
rdflib,data-tools
rdopa,data-access
rdpla,data-access
rdryad,data-access
rebird,data-access
reeack,databases
refimpact,literature
RefManageR,scalereprod
rentrez,data-access
rerddap,data-access
reuropeana,data-access
rfigshare,data-publication
rfishbase,data-access
rfisheries,data-access
rflybase,data-access
rfna,NA
rgbif,data-access
rglobi,data-access
rgpdd,data-access
riem,data-access
rif,data-access
rinat,data-access
ritis,taxonomy
rjsonapi,http-tools
rnaturalearth,geospatial
rnaturalearthdata,geospatial
rnaturalearthhires,NA
RNeXML,data-publication
rnoaa,data-access
rnpn,data-access
roadoi,altmetrics
robotstxt,http-tools
ropenaq,data-access
rorcid,literature
rostats,NA
rotl,data-access
rperseus,data-access
rplos,literature
rppo,data-access
rredlist,data-access
rrlite,databases
rrricanes,data-access
rrricanesdata,data-access
RSelenium,http-tools
rsnps,data-access
rtika,literature
rtimicropem,data-access
rusda,data-access
rvertnet,data-access
rWBclimate,data-access
rzmq,scalereprod
scrubr,data-tools
seaaroundus,data-access
skimr,scalereprod
skynet,data-access
smapr,data-access
sofa,databases
solrium,data-access
spelling,data-tools
spocc,data-access
spsqlite,NA
ssh,security
stplanr,data-access
suppdata,data-access
tabulizer,literature
taxa,taxonomy
taxize,taxonomy
taxizedb,taxonomy
taxizesoap,taxonomy
taxview,taxonomy
tesseract,image-processing
textreuse,literature
tidyhydat,data-access
tif,literature
tokenizers,scalereprod
traits,data-access
treebase,data-access
unrtf,literature
USAboundaries,data-access
USAboundariesData,data-access
vcr,http-tools
visdat,data-visualization
wdman,http-tools
weathercan,data-access
webchem,data-access
webmockr,http-tools
wellknown,geospatial
wicket,geospatial
wikitaxa,taxonomy
worrms,taxonomy
writexl,data-analysis
xslt,data-tools
